Timer started ...
MOD: delay(30 30), type(tBUF), from(valid.OUT), to(valid.PAD)
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_27_.T ), to(u1_cnt_int_count_27_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_28_.C ), to(u1_cnt_int_count_28_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_28_.C ), to(u1_cnt_int_count_28_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_28_.C ), to(u1_cnt_int_count_28_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_28_.T ), to(u1_cnt_int_count_28_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_28_.T ), to(u1_cnt_int_count_28_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_29_.C ), to(u1_cnt_int_count_29_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_29_.C ), to(u1_cnt_int_count_29_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_29_.C ), to(u1_cnt_int_count_29_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_29_.T ), to(u1_cnt_int_count_29_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_29_.T ), to(u1_cnt_int_count_29_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_30_.C ), to(u1_cnt_int_count_30_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_30_.C ), to(u1_cnt_int_count_30_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_30_.C ), to(u1_cnt_int_count_30_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_30_.T ), to(u1_cnt_int_count_30_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_30_.T ), to(u1_cnt_int_count_30_.C )
MOD: delay(30 30), type(tCOSi), from(u1_cnt_int_count_31_.C ), to(u1_cnt_int_count_31_.Q )
CHK: delay(50 50), type(tWLS), from(u1_cnt_int_count_31_.C ), to(u1_cnt_int_count_31_.C )
CHK: delay(50 50), type(tWHS), from(u1_cnt_int_count_31_.C ), to(u1_cnt_int_count_31_.C )
CHK: delay(0 0), type(tHS), from(u1_cnt_int_count_31_.T ), to(u1_cnt_int_count_31_.C )
CHK: delay(65 65), type(tSST), from(u1_cnt_int_count_31_.T ), to(u1_cnt_int_count_31_.C )
MOD: delay(70 70), type(tPDi), from(u1_n_58_n ), to(u1_n_58_n.OUT)
MOD: delay(70 70), type(tPDi), from(u1_n_85_n ), to(u1_n_85_n.OUT)
MOD: delay(70 70), type(tPDi), from(u1_n_109_n ), to(u1_n_109_n.OUT)
MOD: delay(110 110), type(tSRi), from(u0_q1_1_.AR ), to(u0_q1_1_.Q )
MOD: delay(30 30), type(tCOSi), from(u0_q1_1_.C ), to(u0_q1_1_.Q )
CHK: delay(100 100), type(tSRW), from(u0_q1_1_.AR ), to(u0_q1_1_.AR )
CHK: delay(80 80), type(tSRR), from(u0_q1_1_.AR ), to(u0_q1_1_.C )
CHK: delay(50 50), type(tWLS), from(u0_q1_1_.C ), to(u0_q1_1_.C )
CHK: delay(50 50), type(tWHS), from(u0_q1_1_.C ), to(u0_q1_1_.C )
CHK: delay(0 0), type(tHS), from(u0_q1_1_.D ), to(u0_q1_1_.C )
CHK: delay(55 55), type(tSS), from(u0_q1_1_.D ), to(u0_q1_1_.C )
MOD: delay(110 110), type(tSRi), from(u0_q1_2_.AR ), to(u0_q1_2_.Q )
MOD: delay(30 30), type(tCOSi), from(u0_q1_2_.C ), to(u0_q1_2_.Q )
CHK: delay(100 100), type(tSRW), from(u0_q1_2_.AR ), to(u0_q1_2_.AR )
CHK: delay(80 80), type(tSRR), from(u0_q1_2_.AR ), to(u0_q1_2_.C )
CHK: delay(50 50), type(tWLS), from(u0_q1_2_.C ), to(u0_q1_2_.C )
CHK: delay(50 50), type(tWHS), from(u0_q1_2_.C ), to(u0_q1_2_.C )
CHK: delay(0 0), type(tHS), from(u0_q1_2_.D ), to(u0_q1_2_.C )
CHK: delay(55 55), type(tSS), from(u0_q1_2_.D ), to(u0_q1_2_.C )
MOD: delay(110 110), type(tSRi), from(u0_q1_3_.AR ), to(u0_q1_3_.Q )
MOD: delay(30 30), type(tCOSi), from(u0_q1_3_.C ), to(u0_q1_3_.Q )
CHK: delay(100 100), type(tSRW), from(u0_q1_3_.AR ), to(u0_q1_3_.AR )
CHK: delay(80 80), type(tSRR), from(u0_q1_3_.AR ), to(u0_q1_3_.C )
CHK: delay(50 50), type(tWLS), from(u0_q1_3_.C ), to(u0_q1_3_.C )
CHK: delay(50 50), type(tWHS), from(u0_q1_3_.C ), to(u0_q1_3_.C )
CHK: delay(0 0), type(tHS), from(u0_q1_3_.D ), to(u0_q1_3_.C )
CHK: delay(55 55), type(tSS), from(u0_q1_3_.D ), to(u0_q1_3_.C )
MOD: delay(110 110), type(tSRi), from(u0_q1_4_.AR ), to(u0_q1_4_.Q )
MOD: delay(30 30), type(tCOSi), from(u0_q1_4_.C ), to(u0_q1_4_.Q )
CHK: delay(100 100), type(tSRW), from(u0_q1_4_.AR ), to(u0_q1_4_.AR )
CHK: delay(80 80), type(tSRR), from(u0_q1_4_.AR ), to(u0_q1_4_.C )
CHK: delay(50 50), type(tWLS), from(u0_q1_4_.C ), to(u0_q1_4_.C )
CHK: delay(50 50), type(tWHS), from(u0_q1_4_.C ), to(u0_q1_4_.C )
CHK: delay(0 0), type(tHS), from(u0_q1_4_.D ), to(u0_q1_4_.C )
CHK: delay(55 55), type(tSS), from(u0_q1_4_.D ), to(u0_q1_4_.C )
MOD: delay(110 110), type(tSRi), from(u0_q1_5_.AR ), to(u0_q1_5_.Q )
MOD: delay(30 30), type(tCOSi), from(u0_q1_5_.C ), to(u0_q1_5_.Q )
CHK: delay(100 100), type(tSRW), from(u0_q1_5_.AR ), to(u0_q1_5_.AR )
CHK: delay(80 80), type(tSRR), from(u0_q1_5_.AR ), to(u0_q1_5_.C )
CHK: delay(50 50), type(tWLS), from(u0_q1_5_.C ), to(u0_q1_5_.C )
CHK: delay(50 50), type(tWHS), from(u0_q1_5_.C ), to(u0_q1_5_.C )
CHK: delay(0 0), type(tHS), from(u0_q1_5_.D ), to(u0_q1_5_.C )
CHK: delay(55 55), type(tSS), from(u0_q1_5_.D ), to(u0_q1_5_.C )
MOD: delay(110 110), type(tSRi), from(u0_q1_6_.AR ), to(u0_q1_6_.Q )
MOD: delay(30 30), type(tCOSi), from(u0_q1_6_.C ), to(u0_q1_6_.Q )
CHK: delay(100 100), type(tSRW), from(u0_q1_6_.AR ), to(u0_q1_6_.AR )
CHK: delay(80 80), type(tSRR), from(u0_q1_6_.AR ), to(u0_q1_6_.C )
CHK: delay(50 50), type(tWLS), from(u0_q1_6_.C ), to(u0_q1_6_.C )
CHK: delay(50 50), type(tWHS), from(u0_q1_6_.C ), to(u0_q1_6_.C )
CHK: delay(0 0), type(tHS), from(u0_q1_6_.D ), to(u0_q1_6_.C )
CHK: delay(55 55), type(tSS), from(u0_q1_6_.D ), to(u0_q1_6_.C )
MOD: delay(110 110), type(tSRi), from(u0_q1_7_.AR ), to(u0_q1_7_.Q )
MOD: delay(30 30), type(tCOSi), from(u0_q1_7_.C ), to(u0_q1_7_.Q )
CHK: delay(100 100), type(tSRW), from(u0_q1_7_.AR ), to(u0_q1_7_.AR )
CHK: delay(80 80), type(tSRR), from(u0_q1_7_.AR ), to(u0_q1_7_.C )
CHK: delay(50 50), type(tWLS), from(u0_q1_7_.C ), to(u0_q1_7_.C )
CHK: delay(50 50), type(tWHS), from(u0_q1_7_.C ), to(u0_q1_7_.C )
CHK: delay(0 0), type(tHS), from(u0_q1_7_.D ), to(u0_q1_7_.C )
CHK: delay(55 55), type(tSS), from(u0_q1_7_.D ), to(u0_q1_7_.C )
NET: delay(0 0), type(   ), from(d_7_.PAD), to(u0_q1_7_.D )
NET: delay(0 0), type(   ), from(load.PAD), to(u0_q1_7_.D )
NET: delay(0 0), type(   ), from(load.PAD), to(u0_q1_6_.D )
NET: delay(0 0), type(   ), from(load.PAD), to(u0_q1_5_.D )
NET: delay(0 0), type(   ), from(load.PAD), to(u0_q1_4_.D )
NET: delay(0 0), type(   ), from(load.PAD), to(u0_q1_3_.D )
NET: delay(0 0), type(   ), from(load.PAD), to(u0_q1_2_.D )
